time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
416682,1.5850788,9.505688,-3.4333405,-0.015244,-1.173788,-0.40396598,93.9,-167.70001,-18.900002,,,,,,
416702,1.6580523,10.413071,-3.2867956,0.731712,-1.532022,0.35061198,96.3,-160.5,-11.700001,,,,,,
416766,-0.8128763,9.877135,-3.4877717,0.030488,-0.998482,-2.332332,103.50001,-160.5,-13.500001,,,,,,
416786,-1.2704557,8.679652,-3.301151,-0.487808,-1.089946,-2.62959,117.9,-158.1,-11.700001,,,,,,
416806,-1.9325999,7.669987,-3.0822308,-0.16768399,-1.18141,-1.288118,113.100006,-153.3,-12.3,,,,,,
416826,-1.5306479,8.502005,-2.9051805,-0.396344,-0.91463995,1.1356779,115.50001,-167.70001,-15.900001,,,,,,
416846,-1.472628,8.470901,-2.6880546,-0.72409,-0.358234,0.57164997,115.50001,-153.3,-16.5,,,,,,
416908,-0.3702505,8.539089,-2.6587455,-0.015244,-0.312502,0.053354,115.50001,-153.3,-13.500001,,,,,,
417118,0.97796375,8.536696,-3.6163723,0.0,-0.144818,-0.106708,110.700005,-165.3,-11.700001,,,,,,
417138,0.8601296,8.780739,-3.3663487,-0.602138,-0.15244,0.182928,108.3,-158.1,-17.7,,,,,,
417178,2.799309,11.7104435,-3.4901643,-1.29574,-0.548784,0.327746,115.50001,-153.3,-9.900001,,,,,,
417240,0.86611104,10.083494,-2.9003952,-1.006104,1.79117,1.6158639,108.3,-158.1,-12.900001,,,,,,
417260,0.5221788,9.704271,-2.9225266,-0.579272,2.01983,-1.4024479,103.50001,-158.1,-16.5,,,,,,
417300,0.1268063,8.801076,-2.761626,-0.518296,1.48629,-0.53354,105.9,-155.70001,-11.1,,,,,,
417320,0.092712164,8.733485,-2.9356856,-0.365856,1.737816,-0.67835796,108.3,-155.70001,-14.700001,,,,,,
417340,0.11544159,8.790907,-2.7544484,-0.060976,1.288118,-0.365856,113.100006,-160.5,-10.5,,,,,,
417360,0.0723753,9.094764,-3.066679,0.007622,1.516778,-0.55640596,108.3,-158.1,-11.700001,,,,,,
417380,0.18063918,9.037342,-3.1707559,0.083841994,1.082324,-0.72409,115.50001,-158.1,-17.7,,,,,,
417400,0.2781365,9.008632,-3.0313885,0.030488,0.716468,-0.655492,110.700005,-160.5,-14.1,,,,,,
417420,0.17226517,8.901564,-3.0523236,-0.137196,0.69360197,-0.716468,120.3,-153.3,-11.700001,,,,,,
417440,0.16209674,9.296338,-3.3346472,-0.083841994,0.46494198,-0.41921,108.3,-162.90001,-12.3,,,,,,
417462,0.24822934,9.329834,-3.3107214,-0.17530599,-0.07622,-0.72409,110.700005,-165.3,-17.1,,,,,,
