time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
1772900,3.1653726,9.145606,-2.4093199,0.19055,-1.318606,0.015244,79.5,-165.3,-18.300001,,,,,,
1772921,2.6306329,9.032557,-2.6168754,-0.594516,-1.211898,-1.8369019,77.100006,-158.1,-20.7,,,,,,
1772961,2.134174,10.195347,-2.6946342,1.150922,-2.2713559,0.617382,74.700005,-179.70001,-18.300001,,,,,,
1773004,0.75605273,9.910032,-3.5529692,0.030488,-0.868908,-1.173788,81.9,-167.70001,-17.1,,,,,,
1773024,0.7835673,9.949511,-3.3938632,0.7622,-2.187514,-0.830798,101.100006,-172.5,-12.900001,,,,,,
1773087,-0.4216908,10.36163,-3.3795078,1.044214,-1.821658,-1.173788,91.5,-162.90001,-20.7,,,,,,
1773154,-1.740596,8.50021,-3.196476,0.083841994,-0.068598,-2.606724,101.100006,-167.70001,-14.700001,,,,,,
1773259,-1.5527792,8.0522,-2.6623344,-0.45731997,-1.577754,-2.446662,101.100006,-165.3,-18.900002,,,,,,
1773279,-1.5031333,8.141922,-2.560052,-0.769822,-1.6006199,-1.6311079,117.9,-167.70001,-19.5,,,,,,
1773319,-1.5456015,8.345889,-2.4236753,-0.28201398,-1.699706,-1.3414719,122.700005,-172.5,-12.900001,,,,,,
1773398,-0.8397927,10.006932,-3.020622,0.320124,0.40396598,-1.3872039,122.700005,-155.70001,-14.700001,,,,,,
1773493,-0.45399052,8.184988,-3.1109416,0.3811,2.2713559,-1.227142,134.70001,-153.3,-17.1,,,,,,
1773517,0.31163248,9.784423,-3.6696072,0.251526,3.3155699,-0.56402797,137.1,-150.90001,-12.900001,,,,,,
1773559,1.1137422,9.784423,-4.0135393,0.510674,2.065562,-0.68597996,129.90001,-153.3,-20.1,,,,,,
1773623,1.0359837,8.743055,-3.9208272,0.030488,1.8292799,-0.594516,129.90001,-143.70001,-12.900001,,,,,,
1774101,-2.0097604,7.632304,-2.9972944,-0.487808,-1.3490939,-1.760682,132.3,-158.1,-11.700001,,,,,,
1774157,-1.1071626,8.678456,-2.77,0.160062,0.15244,1.3872039,120.3,-155.70001,-14.1,,,,,,
1774177,-0.9325049,9.866966,-3.162382,-0.28201398,0.716468,0.57164997,134.70001,-158.1,-9.900001,,,,,,
1774219,-0.85833514,8.836366,-3.0882123,0.053354,0.26677,-0.182928,132.3,-158.1,-11.700001,,,,,,
1774261,-0.9725805,8.884816,-3.2993567,-0.92988396,1.006104,-0.243904,134.70001,-150.90001,-13.500001,,,,,,
1774338,0.0891233,9.741357,-3.28859,-0.160062,1.478668,0.907018,127.50001,-155.70001,-15.3,,,,,,
1774358,0.4815051,10.68403,-3.6995144,-0.35061198,2.126538,0.137196,129.90001,-165.3,-11.1,,,,,,
1774400,-0.45458865,9.174915,-4.5416994,1.25763,0.625004,-1.1051899,139.5,-160.5,-15.900001,,,,,,
1774440,-0.30684733,9.275403,-4.13257,0.594516,-1.242386,-0.320124,115.50001,-148.5,-10.5,,,,,,
1774698,-0.48808467,9.476977,-3.9806414,-0.960372,1.478668,0.46494198,132.3,-153.3,-14.700001,,,,,,
1774717,-0.49944937,9.106727,-3.823928,-0.861286,0.95274997,0.632626,134.70001,-160.5,-16.5,,,,,,
