time,sensor_accX[g],sensor_accY[g],sensor_accZ[g],sensor_gyroX[°/s],sensor_gyroY[°/s],sensor_gyroZ[°/s],sensor_magX[µT],sensor_magY[µT],sensor_magZ[µT]
1243898,-3.3908724784851074,7.2476983070373535,-5.266648769378662,-0.19817200303077698,-0.038109999150037766,-0.1600620001554489,264.3000183105469,-50.10000228881836,5.700000286102295
1243918,-3.42197585105896,7.252483367919922,-5.240928649902344,-0.3582339882850647,0.038109999150037766,-0.3582339882850647,259.5,-52.500003814697266,12.300000190734863
1243938,-3.4291536808013916,7.130462169647217,-5.273826599121094,-0.3201240003108978,0.060975998640060425,-0.228659987449646,252.3000030517578,-54.900001525878906,4.5
1243981,-3.4560701847076416,7.255474090576172,-5.282798767089844,-0.2896359860897064,0.13719600439071655,-0.1600620001554489,257.1000061035156,-52.500003814697266,5.100000381469727
1244041,-3.5009307861328125,7.238128185272217,-5.304930210113525,-0.2896359860897064,0.2972579896450043,-0.16768398880958557,254.70001220703125,-42.900001525878906,7.500000476837158
1244061,-3.502725124359131,7.015618801116943,-5.211021423339844,-0.33536797761917114,0.19817200303077698,-0.19054999947547913,252.3000030517578,-64.5,5.700000286102295
1244081,-3.4590609073638916,7.096368312835693,-5.261863708496094,-0.2591480016708374,0.26677000522613525,0.02286599949002266,257.1000061035156,-52.500003814697266,8.100000381469727
1244101,-3.4028353691101074,7.271026134490967,-5.305528163909912,-0.16768398880958557,0.18292799592018127,0.04573199898004532,240.3000030517578,-59.70000076293945,-0.9000000357627869
1244121,-3.3878817558288574,7.149602890014648,-5.299546718597412,-0.25152599811553955,0.1448179930448532,-0.09908600151538849,247.50001525878906,-57.30000305175781,6.300000190734863
1244141,-3.3932650089263916,7.09397554397583,-5.223582744598389,-0.2439039945602417,0.15243999660015106,-0.19054999947547913,249.90000915527344,-50.10000228881836,6.300000190734863
1244161,-3.3902742862701416,7.154387950897217,-5.251695156097412,-0.26677000522613525,0.19817200303077698,-0.2591480016708374,259.5,-54.900001525878906,9.300000190734863
1244181,-3.4835846424102783,7.055694580078125,-5.294761657714844,-0.3048799932003021,0.2972579896450043,-0.3734779953956604,254.70001220703125,-57.30000305175781,12.300000190734863
1244201,-3.380704164505005,7.181304454803467,-5.289976596832275,-0.16768398880958557,0.2134159952402115,-0.342989981174469,261.9000244140625,-57.30000305175781,6.900000095367432
1244221,-3.425564765930176,7.128667831420898,-5.278013706207275,-0.22103799879550934,0.28201398253440857,-0.4192099869251251,252.3000030517578,-52.500003814697266,2.700000047683716
1244241,-3.42496657371521,7.204033851623535,-5.351585388183594,-0.2134159952402115,0.28201398253440857,-0.38109999895095825,261.9000244140625,-45.30000305175781,3.9000000953674316
1244261,-3.4805939197540283,6.976739406585693,-5.236741542816162,-0.342989981174469,0.1600620001554489,-0.4039659798145294,242.70001220703125,-59.70000076293945,6.900000095367432
1244281,-3.4596588611602783,7.07004976272583,-5.318687438964844,-0.33536797761917114,0.2439039945602417,-0.19054999947547913,257.1000061035156,-54.900001525878906,9.90000057220459
1244301,-3.437527656555176,7.179510116577148,-5.287583827972412,-0.426831990480423,0.13719600439071655,-0.3125019967556,254.70001220703125,-50.10000228881836,6.300000190734863
1244324,-3.4913604259490967,7.225566864013672,-5.484971046447754,-0.5411620140075684,0.39634400606155396,-0.342989981174469,261.9000244140625,-62.10000228881836,9.300000190734863
1244344,-3.4231722354888916,7.463029861450195,-5.3575663566589355,-0.5945159792900085,0.05335399881005287,-0.426831990480423,259.5,-50.10000228881836,7.500000476837158
1244364,-3.470425605773926,7.133452892303467,-5.345005512237549,-1.1204339265823364,0.2896359860897064,-0.7088459730148315,249.90000915527344,-57.30000305175781,12.90000057220459
1244384,-3.558950662612915,6.979132175445557,-5.362351894378662,-0.9984819889068604,0.426831990480423,-0.5030519962310791,254.70001220703125,-52.500003814697266,4.5
1244404,-3.618764877319336,7.107732772827148,-5.272032260894775,-0.9603719711303711,0.46494197845458984,-0.3582339882850647,257.1000061035156,-54.900001525878906,5.100000381469727
1244424,-3.70190691947937,6.985113620758057,-5.3844828605651855,-1.2195199728012085,0.8765299916267395,-0.38109999895095825,252.3000030517578,-57.30000305175781,4.5
1244444,-3.794619083404541,6.8068671226501465,-5.4030256271362305,-1.2042759656906128,0.9451279640197754,-0.35061198472976685,252.3000030517578,-47.70000076293945,10.5
1244464,-3.850844383239746,6.698005199432373,-5.356968402862549,-1.2271419763565063,1.0747020244598389,-0.09908600151538849,254.70001220703125,-50.10000228881836,5.100000381469727
1244484,-3.7306177616119385,6.922906875610352,-5.340818405151367,-1.2804960012435913,1.1661659479141235,0.26677000522613525,259.5,-52.500003814697266,14.700000762939453
1244504,-3.779665470123291,6.83797025680542,-5.3551740646362305,-1.5548880100250244,1.524399995803833,0.2591480016708374,249.90000915527344,-47.70000076293945,10.5
1244524,-3.8669943809509277,6.585554122924805,-5.234947204589844,-1.6082419157028198,1.4100699424743652,0.1448179930448532,247.50001525878906,-50.10000228881836,9.90000057220459
1244587,-4.345508575439453,6.549067497253418,-5.772677898406982,-1.1814099550247192,1.3338500261306763,0.7012239694595337,249.90000915527344,-62.10000228881836,5.100000381469727
1244610,-4.47171688079834,6.980328559875488,-5.922811508178711,-0.8231759667396545,0.7240899801254272,1.4329359531402588,254.70001220703125,-69.30000305175781,3.9000000953674316
1244630,-4.548279285430908,7.124480724334717,-6.158480167388916,-0.8079319596290588,0.739333987236023,1.5167779922485352,245.10000610351562,-69.30000305175781,9.300000190734863
1244650,-4.24262809753418,7.576676845550537,-6.345698833465576,-0.5640279650688171,0.17530599236488342,2.0122079849243164,242.70001220703125,-78.9000015258789,6.300000190734863
1244670,-4.1002702713012695,7.6681928634643555,-6.035860538482666,-1.0518360137939453,-0.6097599864006042,1.7301939725875854,254.70001220703125,-78.9000015258789,5.100000381469727
1244690,-3.972865581512451,7.533012390136719,-5.668002605438232,-1.2804960012435913,-0.4878079891204834,1.875011920928955,228.3000030517578,-64.5,2.1000001430511475
1244711,-3.886733055114746,7.8649821281433105,-5.657834529876709,-1.7301939725875854,0.2743920087814331,1.7759259939193726,247.50001525878906,-66.9000015258789,6.300000190734863
1244731,-4.114027500152588,7.780643939971924,-5.813351631164551,-1.8597679138183594,0.7850660085678101,1.371959924697876,237.90000915527344,-59.70000076293945,2.700000047683716
1244751,-4.209132194519043,8.053397178649902,-5.991598129272461,-1.92836594581604,0.8384199738502502,1.067080020904541,247.50001525878906,-54.900001525878906,6.300000190734863
1244771,-4.307227611541748,7.366130828857422,-5.955709457397461,-2.0045859813690186,0.5564059615135193,0.49542999267578125,240.3000030517578,-76.5,10.5
1244834,-3.8472557067871094,7.2835869789123535,-5.555552005767822,-2.4695279598236084,0.3048799932003021,2.6677000522613525,240.3000030517578,-78.9000015258789,2.700000047683716
1244854,-3.6522610187530518,7.110125541687012,-5.214610576629639,-2.743919849395752,-0.08384199440479279,3.1250200271606445,237.90000915527344,-74.10000610351562,12.90000057220459
1244874,-3.2108314037323,7.308709144592285,-5.023204803466797,-2.743919849395752,-0.08384199440479279,3.7957558631896973,223.50001525878906,-86.10000610351562,6.900000095367432
1244894,-3.1133341789245605,7.130462169647217,-4.881444931030273,-2.957335948944092,-0.04573199898004532,3.6280720233917236,225.90000915527344,-78.9000015258789,8.700000762939453
