time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
1182884,-0.30086592,9.401013,-2.2442324,-0.289636,-0.95274997,0.45731997,108.3,-172.5,-29.7,,,,,,
1182904,-0.1614986,8.801674,-1.8057936,-0.449698,-0.998482,0.327746,101.100006,-170.1,-31.500002,,,,,,
1182927,0.3923818,8.894984,-1.6628375,-0.45731997,-0.80793196,0.045732,101.100006,-170.1,-29.1,,,,,,
1182947,0.39656878,8.317776,-1.3422328,-0.80793196,-0.708846,-0.365856,103.50001,-167.70001,-30.900002,,,,,,
1182967,0.55746925,9.156971,-1.5366293,0.022866,-0.182928,-0.28201398,105.9,-162.90001,-30.900002,,,,,,
1182990,0.2560052,9.170728,-1.6209675,-0.358234,0.0,-1.234764,98.700005,-162.90001,-29.1,,,,,,
1183010,0.12620817,9.082801,-1.5910603,-0.243904,0.03811,-1.775926,103.50001,-160.5,-31.500002,,,,,,
1183072,-0.20635933,8.79629,-1.7962234,-0.03811,0.777444,-2.7820299,110.700005,-162.90001,-29.7,,,,,,
1183092,-0.2727532,8.8489275,-2.1072576,0.41921,1.089946,-2.606724,113.100006,-165.3,-30.900002,,,,,,
1183115,0.029309006,9.822704,-2.359674,1.097568,1.006104,-2.157026,117.9,-162.90001,-29.1,,,,,,
1183135,0.26378104,9.919004,-2.5570612,0.82317597,1.06708,-2.332332,115.50001,-162.90001,-30.300001,,,,,,
1183155,-0.053832866,8.973341,-2.4870784,0.274392,1.310984,-2.606724,115.50001,-162.90001,-30.300001,,,,,,
1183178,0.21174261,9.16355,-2.773589,0.625004,1.242386,-2.050318,117.9,-158.1,-27.900002,,,,,,
1183198,0.21652776,8.394339,-2.7939258,-0.144818,1.669218,-2.2484899,120.3,-160.5,-29.1,,,,,,
1183218,0.028710863,7.9558997,-3.0577068,0.16768399,1.98172,-1.775926,125.100006,-167.70001,-27.900002,,,,,,
1183238,0.1698726,8.025883,-3.225785,0.289636,2.027452,-1.18141,120.3,-162.90001,-27.300001,,,,,,
1183258,0.15491903,8.55165,-3.5930448,0.426832,2.469528,-0.746956,125.100006,-160.5,-27.300001,,,,,,
1183282,0.70461243,10.421445,-4.3568735,1.280496,2.82014,-0.083841994,120.3,-155.70001,-28.500002,,,,,,
1183323,0.67470527,9.704869,-4.4800906,0.17530599,0.655492,-3.612828,127.50001,-155.70001,-27.900002,,,,,,
1183343,0.5640488,8.469107,-4.5177736,1.288118,0.93750596,-2.888738,125.100006,-162.90001,-27.300001,,,,,,
1183363,0.581395,8.926685,-4.4956427,1.051836,0.579272,-1.189032,132.3,-153.3,-26.1,,,,,,
1183383,0.62565756,9.401611,-4.4615483,0.69360197,0.708846,-0.91463995,127.50001,-153.3,-26.7,,,,,,
1183407,0.7482768,9.115101,-4.1858044,-0.746956,0.785066,-1.097568,127.50001,-153.3,-26.1,,,,,,
1183427,0.73990285,8.466116,-3.7922266,-1.539644,1.1280559,-1.036592,137.1,-158.1,-25.500002,,,,,,
1183447,0.8391946,8.30701,-3.564932,-1.6006199,1.455802,-0.365856,125.100006,-158.1,-26.1,,,,,,
1183470,0.9259253,8.327347,-3.3950596,-2.073184,1.577754,0.022866,129.90001,-150.90001,-28.500002,,,,,,
1183490,1.1478363,8.181399,-3.287992,-1.8369019,1.3948259,0.198172,129.90001,-155.70001,-27.300001,,,,,,
1183512,1.3344569,8.442788,-3.325675,-1.44818,1.25763,0.327746,127.50001,-150.90001,-27.900002,,,,,,
1183532,1.602425,8.493032,-3.212626,-1.211898,0.7622,0.15244,132.3,-158.1,-26.7,,,,,,
1183552,1.8087844,8.22626,-3.100773,-1.1128119,0.579272,0.121952,129.90001,-155.70001,-27.300001,,,,,,
1183572,1.8793652,8.287271,-3.1360636,-0.69360197,0.47256398,0.106708,132.3,-162.90001,-25.500002,,,,,,
1183592,1.9385813,8.380581,-3.2156167,-0.388722,0.22865999,-0.053354,129.90001,-153.3,-27.300001,,,,,,
1183612,1.9206371,8.479275,-3.3274693,0.083841994,-0.22865999,-0.251526,125.100006,-158.1,-26.1,,,,,,
