time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
84575,1.1843231,8.658119,-3.669009,0.3811,0.23628199,-2.36282,108.3,-148.5,-17.1,,,,,,
84595,0.5508897,7.660417,-3.426163,0.3811,-0.07622,-1.9131219,113.100006,-162.90001,-18.900002,,,,,,
84615,0.0077758585,6.991693,-3.142045,0.198172,-0.23628199,-1.3567159,105.9,-146.1,-16.5,,,,,,
84635,-0.3343619,6.90257,-3.0481365,0.07622,-0.15244,-0.792688,115.50001,-148.5,-12.900001,,,,,,
84655,-0.20635933,8.173025,-3.3077307,0.33536798,0.251526,-0.3811,113.100006,-146.1,-12.3,,,,,,
84675,1.0018895,11.454438,-4.472315,1.3948259,0.625004,0.053354,103.50001,-158.1,-20.7,,,,,,
84696,-0.5676377,8.189176,-4.1433363,0.594516,-1.021348,-2.942092,108.3,-160.5,-13.500001,,,,,,
84737,-0.15252645,8.820216,-3.5326324,1.06708,-1.722572,0.480186,117.9,-158.1,-9.900001,,,,,,
84757,-0.42109266,9.784423,-3.949538,0.960372,-1.3643379,0.45731997,103.50001,-148.5,-12.900001,,,,,,
84777,-0.55029154,10.375986,-4.233656,0.899396,-1.242386,-0.46494198,115.50001,-146.1,-13.500001,,,,,,
84799,-0.99889874,9.098951,-3.9830341,0.259148,-1.006104,-1.227142,122.700005,-141.3,-13.500001,,,,,,
84819,-0.98095447,8.973939,-3.9357808,0.160062,-0.861286,-0.884152,122.700005,-146.1,-18.300001,,,,,,
84841,-0.7333233,8.868068,-3.790432,-0.274392,-0.068598,-0.022866,125.100006,-165.3,-13.500001,,,,,,
84861,-0.5945541,8.379983,-3.7790673,-0.28201398,0.045732,0.373478,108.3,-158.1,-17.1,,,,,,
