time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
311281,0.05801987,8.815431,-3.4620516,-0.510674,0.69360197,-0.083841994,129.90001,-153.3,-14.700001,,,,,,
311301,-0.07536601,8.708364,-3.4728181,-0.213416,0.72409,0.198172,129.90001,-155.70001,-6.3,,,,,,
311363,0.1794429,9.038538,-3.371732,-0.17530599,0.91463995,0.33536798,122.700005,-162.90001,-8.1,,,,,,
311384,0.18063918,8.875844,-3.3759189,-0.26677,0.975616,-0.053354,122.700005,-162.90001,-11.1,,,,,,
311404,0.19200389,8.705971,-3.3561802,-0.510674,0.72409,0.068598,113.100006,-153.3,-20.1,,,,,,
311424,0.17884475,9.093568,-3.3531895,-0.55640596,0.853664,0.15244,127.50001,-150.90001,-6.9,,,,,,
311444,0.08314187,9.164148,-3.6085966,0.03811,1.082324,-0.3811,113.100006,-141.3,-12.900001,,,,,,
311464,0.093310304,9.087586,-3.4710236,0.068598,0.830798,-0.60976,117.9,-155.70001,-17.1,,,,,,
311484,0.13398403,8.852516,-3.4656403,-0.099086,0.83842,-0.640248,113.100006,-150.90001,-12.900001,,,,,,
311504,0.14355431,8.779543,-3.5457916,-0.091464,0.861286,-0.41921,117.9,-148.5,-8.700001,,,,,,
311524,0.20576118,9.003846,-3.5075104,-0.091464,0.69360197,-0.137196,125.100006,-153.3,-11.1,,,,,,
311564,0.2781365,8.625221,-3.3143103,-0.47256398,0.640248,-0.182928,120.3,-150.90001,-14.1,,,,,,
311600,0.39656878,8.794497,-3.2162147,-0.41921,0.754578,-0.373478,117.9,-150.90001,-14.1,,,,,,
311620,0.44860724,8.911732,-3.070268,-0.327746,0.785066,-0.586894,120.3,-150.90001,-11.700001,,,,,,
311660,0.117236026,8.729897,-3.0762494,-0.160062,1.013726,-0.81555396,125.100006,-150.90001,-6.9,,,,,,
311680,-0.25540704,9.057081,-3.2365515,0.182928,0.99086,-0.7622,125.100006,-155.70001,-14.700001,,,,,,
311700,-0.65317214,9.3459835,-3.4530795,0.259148,0.57164997,-0.853664,122.700005,-160.5,-14.1,,,,,,
311720,-0.8481667,9.807152,-3.2437294,0.41921,-0.23628199,-0.731712,117.9,-155.70001,-11.700001,,,,,,
311740,-1.1233125,10.576364,-3.0768476,-0.144818,-0.586894,-0.87653,115.50001,-148.5,-12.900001,,,,,,
311763,-1.7310258,10.64515,-3.2138221,-0.861286,-0.34298998,-1.768304,115.50001,-155.70001,-2.1000001,,x,,,,
311783,-2.2765322,10.328135,-3.5075104,-1.440558,-0.792688,-1.8978779,127.50001,-148.5,-10.5,,x,,,,
311803,-3.0421553,9.098352,-3.359171,-1.98172,-2.187514,-2.370442,125.100006,-146.1,-11.700001,,x,,,,
311823,-3.2251868,8.667689,-3.643887,-1.798792,-3.6661818,-1.326228,137.1,-153.3,-18.300001,,x,,,,
