time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
433298,0.39058736,8.360245,-2.6545584,0.23628199,1.478668,-1.532022,105.9,-155.70001,-23.7,,,,,,
433322,0.6310408,8.647353,-2.8471606,0.57164997,1.3490939,-1.25763,108.3,-170.1,-22.5,,,,,,
433342,0.954038,9.020595,-3.0182295,0.640248,1.326228,-1.196654,110.700005,-160.5,-18.900002,,,,,,
433362,1.0652926,9.531408,-3.852639,1.516778,2.164648,-0.92988396,105.9,-165.3,-21.300001,,,,,,
433382,1.3266811,10.031456,-4.138551,1.5929979,2.111294,-0.632626,110.700005,-158.1,-19.5,,,,,,
433402,2.1730535,11.144002,-4.452576,1.3567159,1.036592,-0.625004,105.9,-177.3,-19.5,,,,,,
433462,1.317709,8.938648,-4.339527,0.579272,0.754578,-1.8673899,110.700005,-160.5,-14.1,,,,,,
433635,1.8123732,8.50978,-2.8262255,-1.3490939,0.434454,-0.19055,127.50001,-158.1,-25.500002,,,,,,
433670,1.8596265,8.703578,-2.5720148,-0.884152,0.297258,-0.449698,120.3,-160.5,-21.300001,,,,,,
433690,1.7974197,8.435012,-2.6043146,-0.47256398,0.33536798,-0.777444,125.100006,-158.1,-23.1,,,,,,
433733,1.8751782,8.969752,-2.7185597,-0.274392,0.41921,-0.746956,129.90001,-165.3,-19.5,,,,,,
433753,2.6085014,10.469894,-3.1647744,0.15244,0.746956,0.64787,115.50001,-162.90001,-17.1,,,,,,
433773,2.0336862,9.149793,-2.627044,-1.3490939,-0.891774,-2.461906,110.700005,-167.70001,-21.300001,,,,,,
433793,1.673604,8.039639,-2.5098078,0.07622,-0.45731997,-1.501534,129.90001,-155.70001,-24.300001,,,,,,
433857,0.8415872,9.076819,-2.4667416,0.091464,-1.059458,-1.288118,134.70001,-153.3,-20.1,,,,,,
433877,0.669322,9.948314,-2.3536925,-0.49543,-1.166166,-0.99086,125.100006,-158.1,-22.5,,,,,,
433897,0.13159145,10.1558695,-2.5343318,-0.480186,-0.358234,-1.417692,127.50001,-160.5,-12.3,,,,,,
433917,-0.5209825,9.805358,-2.8208423,-0.45731997,-0.72409,-1.8521459,137.1,-153.3,-24.900002,,,,,,
433977,-1.0987886,10.2097025,-2.8477588,-0.060976,-0.503052,-1.806414,141.90001,-158.1,-24.300001,,,,,,
434033,-2.3249817,8.628811,-2.7311208,0.82317597,-1.432936,-1.745438,144.3,-153.3,-20.1,,,,,,
434053,-2.6431937,8.228055,-3.0301924,1.3414719,-0.884152,-1.539644,141.90001,-153.3,-26.1,,,,,,
434096,-2.8052905,8.148501,-2.9422653,0.891774,-2.164648,-0.289636,137.1,-155.70001,-27.300001,,,,,,
434116,-2.8657029,8.515761,-3.033183,1.082324,-1.775926,0.11432999,141.90001,-148.5,-18.900002,,,,,,
434138,-2.6144829,9.249683,-3.4453034,1.044214,-1.310984,0.121952,144.3,-141.3,-20.1,,,,,,
434158,-2.6306329,9.254468,-3.6253445,0.983238,-1.501534,-0.41158798,149.1,-146.1,-21.900002,,,,,,
434178,-2.3776183,9.206616,-3.275431,0.617382,-2.05794,-0.548784,156.3,-153.3,-19.5,,,,,,
434198,-2.3614686,9.418958,-3.1904945,0.503052,-1.821658,-0.41158798,146.70001,-148.5,-14.1,,,,,,
434218,-2.6754935,9.476379,-3.1605875,-0.022866,-0.91463995,-0.68597996,146.70001,-153.3,-25.500002,,,,,,
434278,-2.1862125,9.290955,-2.723943,-0.396344,-1.1051899,-0.068598,137.1,-155.70001,-14.1,,,,,,
434452,-1.2321745,8.888405,-2.9602096,0.67835796,1.722572,0.28201398,137.1,-143.70001,-21.900002,,,,,,
434472,-1.0503391,8.798683,-3.0002851,0.655492,1.455802,-0.030488,134.70001,-155.70001,-21.300001,,,,,,
434512,-0.9043922,8.808851,-3.1851113,0.56402797,1.8826339,-0.274392,151.5,-155.70001,-25.500002,,,,,,
434552,-0.8756813,8.671877,-3.757534,1.021348,1.798792,-0.594516,141.90001,-153.3,-22.5,,,,,,
434809,1.564742,8.373404,-3.535623,-1.463424,0.55640596,-0.960372,156.3,-148.5,-17.1,,,,,,
434829,1.5808918,8.363833,-3.2903845,-1.18141,0.388722,-0.617382,156.3,-158.1,-15.900001,,,,,,
434870,1.3960657,7.9612827,-3.0068648,-1.196654,0.80793196,-1.288118,149.1,-153.3,-21.900002,,,,,,
434890,1.4235803,8.324954,-3.2138221,-0.67835796,0.830798,-0.967994,146.70001,-138.90001,-21.300001,,,,,,
434910,1.4672447,8.886012,-3.3358433,-0.40396598,0.3811,-0.7622,146.70001,-158.1,-21.300001,,,,,,
434933,1.4116174,8.580959,-3.0882123,-0.67073596,-0.434454,-1.089946,151.5,-155.70001,-13.500001,,,,,,
435016,-1.4205896,8.280691,-3.062492,-0.358234,0.69360197,-1.082324,158.70001,-158.1,-18.900002,,,,,,
