time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
209014,2.045649,7.776457,-1.794429,0.17530599,0.82317597,-3.109776,57.9,-167.70001,-24.300001,,,,,,
209037,1.8034011,7.479778,-2.1909976,0.92988396,1.920744,-2.469528,57.9,-165.3,-30.300001,,,,,,
209099,2.572613,8.699391,-3.0577068,0.602138,1.1356779,-1.920744,79.5,-172.5,-21.300001,,,,,,
209121,3.0104535,9.467407,-3.4548738,1.3719599,0.899396,-1.006104,67.5,-167.70001,-23.7,,,,,,
209141,3.237748,9.877135,-3.8753684,0.983238,0.632626,-1.318606,67.5,-174.90001,-12.3,,,,,,
209163,3.06309,9.484753,-3.8544333,0.594516,-0.625004,-1.783548,69.9,-165.3,-27.900002,,,,,,
209183,3.2562904,9.744348,-3.6373074,0.67835796,-1.547266,-1.6463519,72.3,-160.5,-21.900002,,,,,,
209203,3.0804362,8.921303,-3.191691,-0.34298998,-1.806414,-2.088428,81.9,-167.70001,-23.7,,,,,,
209226,2.9895186,8.372208,-2.8262255,-0.72409,-1.463424,-1.737816,81.9,-170.1,-23.1,,,,,,
209246,2.8932176,8.396731,-2.5821831,-1.097568,-0.72409,-1.204276,77.100006,-162.90001,-23.7,,,,,,
209266,2.5851738,8.407497,-2.7490652,-1.3719599,-0.121952,-1.1204339,86.700005,-167.70001,-27.300001,,,,,,
209286,2.45119,8.336917,-2.7598317,-1.25763,-0.388722,-1.265252,79.5,-174.90001,-17.7,,,,,,
209330,2.2023625,7.9935827,-2.5624444,-0.868908,-0.548784,-0.785066,69.9,-174.90001,-23.7,,,,,,
209390,2.3130188,8.637783,-2.7598317,-0.510674,-0.640248,-0.746956,81.9,-179.70001,-19.5,,,,,,
209410,2.159296,8.427237,-2.7604299,-0.41158798,-0.655492,-0.899396,89.100006,-170.1,-32.100002,,,,,,
209430,2.3710387,9.251477,-2.8549364,0.198172,-0.830798,-0.67073596,84.3,-177.3,-18.900002,,,,,,
209450,3.0822308,10.585935,-3.3519933,0.243904,-0.67073596,-0.320124,81.9,-165.3,-21.300001,,,,,,
209470,2.2125309,8.241214,-2.5618463,-0.746956,-2.2180018,-2.599102,86.700005,-174.90001,-17.1,,,,,,
209511,2.3471131,9.179102,-2.310028,-0.243904,-1.33385,0.198172,86.700005,-162.90001,-21.300001,,,,,,
209531,2.2669618,8.926087,-2.0677803,-0.487808,-1.3643379,-0.068598,81.9,-170.1,-21.300001,,,,,,
209552,2.339337,9.366919,-2.113239,-0.091464,-1.821658,0.22865999,93.9,-172.5,-26.7,,,,,,
209592,1.0264133,9.413574,-1.4343468,0.16768399,-2.644834,0.67073596,77.100006,-167.70001,-33.300003,,,,,,
209648,-0.5000475,8.957191,-1.8315138,0.16768399,-2.484772,-0.388722,91.5,-174.90001,-20.7,,,,,,
209753,-0.91515875,10.090672,-1.6993241,-0.40396598,-0.68597996,-2.309466,98.700005,-170.1,-24.900002,,,,,,
209773,-1.0682833,9.841845,-1.6436969,-0.312502,-0.60976,-2.576236,77.100006,-167.70001,-26.7,,,,,,
209815,-0.90558845,9.613952,-1.7274369,0.099086,0.95274997,-1.036592,86.700005,-165.3,-25.500002,,,,,,
209855,-0.8840553,9.004444,-1.9170482,0.891774,1.3414719,-0.07622,96.3,-167.70001,-21.900002,,,,,,
209875,-0.67291087,9.107325,-2.0109568,0.95274997,0.80793196,0.525918,98.700005,-167.70001,-27.900002,,,,,,
209919,-0.2697625,9.299927,-2.0324898,0.106708,0.358234,-0.053354,84.3,-162.90001,-22.5,,,,,,
209939,-0.18482618,9.368115,-2.0151436,0.0,-0.068598,-0.442076,108.3,-177.3,-25.500002,,,,,,
209959,0.1794429,9.726403,-2.0025826,0.144818,-0.121952,-0.80793196,91.5,-172.5,-24.300001,,,,,,
209983,0.1447506,9.41477,-2.012751,-0.083841994,0.106708,-1.570132,89.100006,-165.3,-24.300001,,,,,,
210003,0.2254999,9.009828,-1.9858347,0.11432999,0.28201398,-1.661596,101.100006,-179.70001,-29.7,,,,,,
210023,0.27394947,8.883021,-2.1186223,0.3811,0.708846,-1.44818,98.700005,-162.90001,-20.7,,,,,,
210043,0.36965236,8.919508,-2.339337,0.327746,0.884152,-1.18141,101.100006,-162.90001,-23.1,,,,,,
210063,0.5377305,9.014613,-2.3022523,0.28201398,0.594516,-1.1204339,101.100006,-172.5,-21.900002,,,,,,
210105,0.51799184,9.30232,-2.6689138,0.121952,1.280496,-2.050318,105.9,-165.3,-21.900002,,,,,,
210293,1.8183546,9.207813,-3.3723302,-0.251526,1.44818,-1.928366,115.50001,-162.90001,-29.7,,,,,,
210313,1.8452711,9.200037,-3.4668367,0.442076,0.92988396,-2.195136,117.9,-170.1,-21.900002,,,,,,
