time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
700377,2.6671195,11.505878,-3.0463421,-1.3490939,-1.692084,0.95274997,74.700005,-174.90001,-20.1,,,,,,
700398,0.81467074,8.288467,-2.2274845,-1.021348,-3.025934,-3.2622159,69.9,-172.5,-23.7,,,,,,
700439,-0.0017944289,11.120076,-2.2280827,-2.644834,-1.06708,0.93750596,74.700005,-177.3,-20.1,,,,,,
700459,-0.64120924,9.5403805,-2.0665839,-1.783548,-0.632626,-1.3643379,81.9,-160.5,-17.7,,,,,,
700480,-0.6968366,9.922594,-2.1730535,-1.463424,-0.868908,0.121952,55.500004,-174.90001,-23.7,,,,,,
700501,-0.88226086,10.057774,-2.1150336,-1.71495,-0.785066,-0.07622,81.9,-170.1,-23.7,,,,,,
700521,-0.9139625,9.640868,-2.18382,-1.021348,-0.92226195,-0.640248,72.3,-165.3,-14.1,,,,,,
700541,-0.8056986,9.770665,-2.074958,-0.289636,-0.92226195,-0.56402797,77.100006,-172.5,-20.1,,,,,,
700561,-0.8212503,9.400414,-2.113239,-0.068598,-1.089946,-1.1051899,72.3,-172.5,-16.5,,,,,,
700581,-0.36666164,9.79818,-1.9864328,0.320124,-1.211898,-0.67835796,72.3,-172.5,-15.900001,,,,,,
700621,-0.15432088,8.904554,-1.8183546,0.007622,-0.55640596,-0.72409,72.3,-177.3,-18.900002,,,,,,
700641,0.011962859,9.14441,-1.8859448,0.22865999,-0.213416,0.03811,65.100006,-160.5,-23.1,,,,,,
700681,0.21473333,8.766383,-2.0061715,0.251526,-0.083841994,0.144818,77.100006,-165.3,-22.5,,,,,,
700741,0.6041244,9.72102,-2.0067697,0.20579399,0.297258,-0.11432999,77.100006,-172.5,-23.7,,,,,,
700794,0.6208724,9.632494,-1.9983957,0.083841994,-0.144818,-0.82317597,84.3,-170.1,-18.900002,,,,,,
