time,sensor_accX[g],sensor_accY[g],sensor_accZ[g],sensor_gyroX[°/s],sensor_gyroY[°/s],sensor_gyroZ[°/s],sensor_magX[µT],sensor_magY[µT],sensor_magZ[µT]
687489,-5.3133039474487305,7.844645023345947,-1.7974196672439575,-0.1600620001554489,0.17530599236488342,-0.060975998640060425,269.1000061035156,-86.10000610351562,-30.30000114440918
687509,-5.287583827972412,7.992386341094971,-1.7854567766189575,-0.114329993724823,0.2896359860897064,-0.09146399796009064,285.9000244140625,-78.9000015258789,-31.500001907348633
687532,-5.303135395050049,8.042630195617676,-1.7902419567108154,-0.16768398880958557,0.44969800114631653,-0.23628199100494385,276.3000183105469,-81.30000305175781,-37.5
687554,-5.512485504150391,7.894290924072266,-1.936188817024231,-0.07621999830007553,0.4420759975910187,-0.3582339882850647,281.1000061035156,-71.70000457763672,-32.10000228881836
687596,-5.398240089416504,7.892496585845947,-1.9367868900299072,0.09146399796009064,0.19817200303077698,-0.04573199898004532,293.1000061035156,-78.9000015258789,-33.900001525878906
687616,-5.3695292472839355,7.875150203704834,-1.9379832744598389,-0.05335399881005287,0.015243999660015106,0.007621999830007553,276.3000183105469,-86.10000610351562,-37.5
687637,-5.342014789581299,8.012125015258789,-1.9858347177505493,0.030487999320030212,0.05335399881005287,0.038109999150037766,281.1000061035156,-78.9000015258789,-39.900001525878906
687658,-5.361753463745117,7.930179595947266,-1.927216649055481,-0.10670799762010574,-0.007621999830007553,-0.07621999830007553,276.3000183105469,-71.70000457763672,-39.900001525878906
687718,-5.379697799682617,7.949918270111084,-1.9631052017211914,-0.25152599811553955,0.13719600439071655,-0.09146399796009064,276.3000183105469,-74.10000610351562,-36.30000305175781
687738,-5.326463222503662,7.960684776306152,-1.922431468963623,-0.2743920087814331,0.08384199440479279,-0.10670799762010574,281.1000061035156,-78.9000015258789,-37.5
687758,-5.305528163909912,7.943936824798584,-1.9176464080810547,-0.28201398253440857,0.09146399796009064,-0.114329993724823,283.5,-76.5,-35.10000228881836
687778,-5.255882263183594,7.905057430267334,-1.8745800256729126,-0.2134159952402115,0.09908600151538849,-0.12195199728012085,278.70001220703125,-71.70000457763672,-39.30000305175781
687800,-5.346799850463867,7.783036231994629,-1.8955150842666626,-0.19817200303077698,0.09146399796009064,-0.13719600439071655,276.3000183105469,-76.5,-33.30000305175781
687820,-5.371922016143799,7.874552249908447,-1.9188426733016968,-0.02286599949002266,0.15243999660015106,-0.06859800219535828,281.1000061035156,-76.5,-47.10000228881836
687840,-5.350986957550049,7.931973934173584,-1.912263035774231,0.030487999320030212,0.13719600439071655,-0.09908600151538849,273.9000244140625,-86.10000610351562,-33.900001525878906
687860,-5.279210090637207,7.988199234008789,-1.9349925518035889,0.04573199898004532,0.17530599236488342,-0.1295740008354187,278.70001220703125,-83.70000457763672,-32.10000228881836
687880,-5.407212257385254,7.848233699798584,-1.9960031509399414,0.038109999150037766,0.12195199728012085,-0.1295740008354187,285.9000244140625,-81.30000305175781,-36.900001525878906
687901,-5.3432111740112305,7.983414173126221,-2.0199289321899414,0.08384199440479279,0.09908600151538849,-0.015243999660015106,288.3000183105469,-86.10000610351562,-24.30000114440918
687921,-5.487363815307617,7.849430084228516,-2.014545440673828,-0.09908600151538849,-0.04573199898004532,-0.02286599949002266,276.3000183105469,-78.9000015258789,-34.5
687941,-5.556149959564209,7.896683692932129,-2.1323797702789307,-0.114329993724823,-0.13719600439071655,0.015243999660015106,269.1000061035156,-86.10000610351562,-33.900001525878906
687961,-5.657236099243164,7.8440470695495605,-1.9960031509399414,-0.3201240003108978,-0.5868939757347107,0.07621999830007553,276.3000183105469,-71.70000457763672,-36.900001525878906
688024,-6.3056230545043945,7.868570804595947,-2.0767524242401123,-0.35061198472976685,-4.10825777053833,1.5548880100250244,281.1000061035156,-86.10000610351562,-36.30000305175781
688044,-6.015523910522461,8.125772476196289,-1.8907299041748047,-0.48018598556518555,-5.640279769897461,2.073184013366699,271.5,-78.9000015258789,-39.30000305175781
688064,-5.4981303215026855,8.226858139038086,-1.6831743717193604,-0.8612859845161438,-6.661627769470215,2.2561118602752686,271.5,-78.9000015258789,-39.900001525878906
688084,-5.116515159606934,8.039639472961426,-1.23695969581604,-1.1585439443588257,-6.958885669708252,2.1570260524749756,261.9000244140625,-78.9000015258789,-34.5
688107,-4.767199516296387,8.061771392822266,-1.2686612606048584,-0.9375059604644775,-6.4253458976745605,2.03507399559021,266.70001220703125,-86.10000610351562,-38.70000076293945
688127,-4.504016399383545,8.179006576538086,-0.9833470582962036,-0.9832379817962646,-5.838451862335205,1.7759259939193726,259.5,-78.9000015258789,-40.5
688150,-4.43283748626709,8.213699340820312,-0.7943338751792908,-0.8079319596290588,-5.045763969421387,1.4329359531402588,257.1000061035156,-86.10000610351562,-39.900001525878906
688171,-4.450183868408203,8.433815956115723,-0.8894385695457458,-0.3887220025062561,-3.094532012939453,0.6402480006217957,266.70001220703125,-93.30000305175781,-40.5
688191,-4.54648494720459,8.30581283569336,-0.7207622528076172,-0.4039659798145294,-2.2713558673858643,0.007621999830007553,247.50001525878906,-78.9000015258789,-43.5
688211,-4.939464569091797,8.010929107666016,-1.0365817546844482,-0.1600620001554489,-1.2347639799118042,-0.39634400606155396,261.9000244140625,-74.10000610351562,-39.30000305175781
688231,-5.248704433441162,7.923599720001221,-1.035983681678772,0.09908600151538849,-0.853663980960846,-0.3887220025062561,257.1000061035156,-93.30000305175781,-42.900001525878906
688254,-5.2564802169799805,8.186184883117676,-1.1406586170196533,0.17530599236488342,-0.5945159792900085,-0.1448179930448532,259.5,-90.9000015258789,-44.70000076293945
688274,-5.200254917144775,8.298635482788086,-1.1490325927734375,-0.04573199898004532,-0.5030519962310791,-0.06859800219535828,266.70001220703125,-76.5,-41.70000076293945
688294,-5.234947204589844,8.0946683883667,-1.094003438949585,-0.26677000522613525,-0.5868939757347107,-0.02286599949002266,254.70001220703125,-88.5,-45.30000305175781
688314,-5.205638408660889,8.125772476196289,-0.9839451909065247,-0.3048799932003021,-0.5335400104522705,0.05335399881005287,252.3000030517578,-90.9000015258789,-35.70000076293945
688334,-5.123692512512207,8.301626205444336,-1.0264133214950562,-0.3277460038661957,-0.4039659798145294,0.08384199440479279,266.70001220703125,-88.5,-44.10000228881836
688377,-5.272032260894775,8.066555976867676,-1.0168430805206299,-0.2591480016708374,-0.10670799762010574,-0.4039659798145294,264.3000183105469,-93.30000305175781,-43.5
688397,-5.3252668380737305,8.110220909118652,-1.0485446453094482,-0.16768398880958557,-0.07621999830007553,-0.36585599184036255,266.70001220703125,-78.9000015258789,-34.5
688417,-5.310911655426025,8.149100303649902,-1.010263442993164,-0.2134159952402115,-0.13719600439071655,-0.26677000522613525,259.5,-90.9000015258789,-41.70000076293945
688437,-5.300743103027344,8.224466323852539,-1.0963960886001587,-0.28201398253440857,-0.19054999947547913,-0.18292799592018127,259.5,-78.9000015258789,-48.30000305175781
688458,-5.3043317794799805,8.141921997070312,-1.0114597082138062,-0.342989981174469,-0.23628199100494385,-0.2134159952402115,261.9000244140625,-93.30000305175781,-41.10000228881836
688478,-5.392857074737549,7.990592002868652,-1.0617038011550903,-0.3125019967556,-0.26677000522613525,-0.19817200303077698,259.5,-98.10000610351562,-39.900001525878906
688500,-5.273826599121094,8.2202787399292,-1.028207778930664,-0.2439039945602417,-0.3887220025062561,-0.030487999320030212,264.3000183105469,-90.9000015258789,-50.10000228881836
688521,-5.238536357879639,8.174819946289062,-0.9474584460258484,-0.342989981174469,-0.3277460038661957,-0.10670799762010574,261.9000244140625,-88.5,-51.30000305175781
688541,-5.20683479309082,8.150296211242676,-0.9552343487739563,-0.3125019967556,-0.20579399168491364,-0.15243999660015106,261.9000244140625,-86.10000610351562,-41.70000076293945
688561,-5.211021423339844,8.186184883117676,-0.9205420613288879,-0.2439039945602417,-0.015243999660015106,-0.16768398880958557,254.70001220703125,-90.9000015258789,-49.500003814697266
688581,-5.228965759277344,8.263344764709473,-0.9863377809524536,-0.23628199100494385,0.06859800219535828,-0.28201398253440857,249.90000915527344,-83.70000457763672,-44.70000076293945
688601,-5.234349250793457,8.173624038696289,-0.9719823002815247,-0.3201240003108978,0.10670799762010574,-0.2972579896450043,252.3000030517578,-88.5,-43.5
688624,-5.335435390472412,8.097061157226562,-0.906186580657959,-0.35061198472976685,0.1448179930448532,-0.2896359860897064,259.5,-88.5,-48.900001525878906
688644,-5.300743103027344,8.181997299194336,-0.9402807354927063,-0.342989981174469,0.1295740008354187,-0.22103799879550934,259.5,-86.10000610351562,-39.30000305175781
688664,-5.295958042144775,8.1843900680542,-0.9235327243804932,-0.3887220025062561,0.060975998640060425,-0.22103799879550934,264.3000183105469,-81.30000305175781,-47.70000076293945
688684,-5.293565273284912,8.125772476196289,-0.809885561466217,-0.4420759975910187,-0.015243999660015106,-0.26677000522613525,271.5,-81.30000305175781,-50.70000076293945
688704,-5.339622497558594,8.234036445617676,-0.903195858001709,-0.3201240003108978,0.1600620001554489,-0.2972579896450043,259.5,-83.70000457763672,-44.10000228881836
688724,-5.3785014152526855,8.221475601196289,-0.8589333295822144,-0.4192099869251251,0.06859800219535828,-0.33536797761917114,259.5,-95.70000457763672,-42.30000305175781
688746,-5.358762741088867,8.181997299194336,-0.8379983305931091,-0.41158798336982727,0.1448179930448532,-0.2972579896450043,261.9000244140625,-90.9000015258789,-42.30000305175781
688767,-5.346799850463867,8.134744644165039,-0.817661464214325,-0.4344539940357208,0.17530599236488342,-0.228659987449646,264.3000183105469,-90.9000015258789,-43.5
688788,-5.3162946701049805,8.152688980102539,-0.8021097183227539,-0.39634400606155396,0.18292799592018127,-0.16768398880958557,259.5,-86.10000610351562,-48.900001525878906
688808,-5.305528163909912,8.150894165039062,-0.7841654419898987,-0.39634400606155396,0.1295740008354187,-0.1448179930448532,257.1000061035156,-90.9000015258789,-50.70000076293945
688828,-5.2923688888549805,8.1724271774292,-0.7375102639198303,-0.3582339882850647,0.1600620001554489,-0.09908600151538849,271.5,-98.10000610351562,-39.30000305175781
688850,-5.359361171722412,8.1544828414917,-0.7901468873023987,-0.3125019967556,0.16768398880958557,-0.114329993724823,259.5,-88.5,-46.5
688872,-5.3103132247924805,8.14551067352295,-0.7590434551239014,-0.33536797761917114,0.060975998640060425,-0.1448179930448532,257.1000061035156,-83.70000457763672,-48.900001525878906
688893,-5.3073225021362305,8.189175605773926,-0.8320168852806091,-0.19054999947547913,0.09146399796009064,-0.22103799879550934,276.3000183105469,-93.30000305175781,-45.30000305175781
688914,-5.330051898956299,8.086893081665039,-0.8015115857124329,-0.2439039945602417,0.030487999320030212,-0.2439039945602417,266.70001220703125,-93.30000305175781,-45.30000305175781
688934,-5.3641462326049805,8.084500312805176,-0.8475685715675354,-0.19054999947547913,0.1295740008354187,-0.09146399796009064,257.1000061035156,-83.70000457763672,-47.70000076293945
688956,-5.278611660003662,8.179006576538086,-0.8206521272659302,-0.2743920087814331,0.060975998640060425,-0.015243999660015106,259.5,-90.9000015258789,-47.10000228881836
688977,-5.202647686004639,8.22326946258545,-0.8439797163009644,-0.2972579896450043,0.05335399881005287,-0.05335399881005287,264.3000183105469,-86.10000610351562,-41.70000076293945
688997,-5.220592021942139,8.097061157226562,-0.7470805644989014,-0.3734779953956604,0.114329993724823,-0.07621999830007553,252.3000030517578,-83.70000457763672,-41.10000228881836
689018,-5.231956481933594,8.111416816711426,-0.7751932740211487,-0.342989981174469,0.228659987449646,-0.04573199898004532,249.90000915527344,-81.30000305175781,-41.70000076293945
689038,-5.295958042144775,8.1604642868042,-0.7602397203445435,-0.342989981174469,0.23628199100494385,-0.114329993724823,257.1000061035156,-88.5,-49.500003814697266
689058,-5.276817321777344,8.260952949523926,-0.8140726089477539,-0.2743920087814331,0.2134159952402115,-0.2439039945602417,266.70001220703125,-83.70000457763672,-44.70000076293945
689078,-5.3641462326049805,8.192166328430176,-0.7793802618980408,-0.28201398253440857,0.15243999660015106,-0.4420759975910187,249.90000915527344,-90.9000015258789,-47.70000076293945
689102,-5.464035987854004,8.028274536132812,-0.8469704389572144,-0.228659987449646,0.07621999830007553,-0.4725639820098877,252.3000030517578,-81.30000305175781,-53.10000228881836
689122,-5.388669967651367,8.1664457321167,-0.8439797163009644,-0.1448179930448532,0.060975998640060425,-0.2743920087814331,254.70001220703125,-83.70000457763672,-47.70000076293945
689144,-5.359361171722412,8.113211631774902,-0.7937357425689697,-0.16768398880958557,0.06859800219535828,-0.2134159952402115,261.9000244140625,-86.10000610351562,-38.70000076293945
689164,-5.345603942871094,8.046817779541016,-0.7560527324676514,-0.17530599236488342,0.15243999660015106,-0.12195199728012085,266.70001220703125,-88.5,-43.5
689185,-5.340818405151367,8.1963529586792,-0.9462621808052063,-0.015243999660015106,0.3277460038661957,-0.038109999150037766,259.5,-93.30000305175781,-47.70000076293945
689206,-5.3013410568237305,8.044425010681152,-0.8822608590126038,-0.12195199728012085,0.19817200303077698,-0.09146399796009064,261.9000244140625,-93.30000305175781,-44.10000228881836
689226,-5.3282575607299805,8.095267295837402,-0.8451760411262512,-0.08384199440479279,0.2591480016708374,-0.09908600151538849,264.3000183105469,-81.30000305175781,-48.30000305175781
689246,-5.3755106925964355,8.1903715133667,-0.8272317051887512,-0.1295740008354187,0.3734779953956604,-0.1448179930448532,271.5,-83.70000457763672,-41.70000076293945
689266,-5.3970441818237305,8.263344764709473,-0.9887303113937378,-0.17530599236488342,0.342989981174469,-0.2896359860897064,261.9000244140625,-90.9000015258789,-41.10000228881836
689287,-5.416782855987549,8.083902359008789,-0.8457741737365723,-0.2591480016708374,0.23628199100494385,-0.3582339882850647,259.5,-83.70000457763672,-43.5
689307,-5.3964457511901855,8.029471397399902,-0.8487648963928223,-0.25152599811553955,0.228659987449646,-0.2591480016708374,269.1000061035156,-88.5,-44.10000228881836
689327,-5.4143900871276855,8.140726089477539,-0.903195858001709,-0.20579399168491364,0.2972579896450043,-0.19054999947547913,261.9000244140625,-86.10000610351562,-47.10000228881836
689347,-5.416184425354004,8.194559097290039,-0.915158748626709,-0.25152599811553955,0.228659987449646,-0.2134159952402115,259.5,-90.9000015258789,-43.5
689367,-5.380894184112549,8.094070434570312,-0.8679054379463196,-0.2591480016708374,0.23628199100494385,-0.228659987449646,269.1000061035156,-83.70000457763672,-42.900001525878906
689391,-5.353379726409912,8.042630195617676,-0.8780738711357117,-0.22103799879550934,0.2972579896450043,-0.1600620001554489,261.9000244140625,-83.70000457763672,-47.10000228881836
689411,-5.344407558441162,8.049209594726562,-0.8966163396835327,-0.18292799592018127,0.39634400606155396,-0.09908600151538849,245.10000610351562,-83.70000457763672,-45.30000305175781
689431,-5.355772018432617,8.122781753540039,-0.8924292922019958,-0.18292799592018127,0.4420759975910187,-0.09908600151538849,257.1000061035156,-88.5,-53.10000228881836
689451,-5.325864791870117,8.21728801727295,-0.9378882050514221,-0.228659987449646,0.4192099869251251,-0.19054999947547913,266.70001220703125,-88.5,-42.900001525878906
689472,-5.373716354370117,8.1185941696167,-0.9169531464576721,-0.28201398253440857,0.4420759975910187,-0.22103799879550934,264.3000183105469,-78.9000015258789,-48.900001525878906
689492,-5.3755106925964355,8.009732246398926,-0.9522436261177063,-0.26677000522613525,0.4420759975910187,-0.16768398880958557,259.5,-81.30000305175781,-43.5
689512,-5.4084086418151855,8.019901275634766,-0.9295141696929932,-0.25152599811553955,0.426831990480423,-0.10670799762010574,261.9000244140625,-81.30000305175781,-49.500003814697266
689532,-5.307920932769775,8.1903715133667,-0.9175513386726379,-0.25152599811553955,0.44969800114631653,-0.08384199440479279,269.1000061035156,-81.30000305175781,-44.10000228881836
