time,sensor_accX[g],sensor_accY[g],sensor_accZ[g],sensor_gyroX[°/s],sensor_gyroY[°/s],sensor_gyroZ[°/s],sensor_magX[µT],sensor_magY[µT],sensor_magZ[µT]
1428140,-3.2467200756073,7.311699867248535,-5.315696716308594,-0.38109999895095825,0.228659987449646,-0.228659987449646,261.9000244140625,-57.30000305175781,-5.100000381469727
1428160,-3.2443275451660156,7.225566864013672,-5.2833967208862305,-0.2972579896450043,0.228659987449646,-0.20579399168491364,261.9000244140625,-50.10000228881836,-4.5
1428180,-3.2389442920684814,7.3314385414123535,-5.273228645324707,-0.3887220025062561,0.3048799932003021,-0.1448179930448532,261.9000244140625,-54.900001525878906,-2.700000047683716
1428200,-3.24372935295105,7.2476983070373535,-5.2684431076049805,-0.39634400606155396,0.342989981174469,-0.228659987449646,264.3000183105469,-52.500003814697266,-3.9000000953674316
1428224,-3.25569224357605,7.238128185272217,-5.272032260894775,-0.36585599184036255,0.35061198472976685,-0.16768398880958557,261.9000244140625,-50.10000228881836,-3.3000001907348633
1428247,-3.2885899543762207,7.18967866897583,-5.297752380371094,-0.2972579896450043,0.28201398253440857,-0.04573199898004532,257.1000061035156,-57.30000305175781,-5.100000381469727
1428267,-3.287393808364868,7.366130828857422,-5.389866352081299,-0.22103799879550934,0.19054999947547913,-0.038109999150037766,269.1000061035156,-57.30000305175781,-4.5
1428287,-3.230570077896118,7.321269989013672,-5.398838520050049,-0.25152599811553955,0.060975998640060425,-0.19054999947547913,269.1000061035156,-54.900001525878906,-3.3000001907348633
1428309,-3.1964759826660156,7.2746148109436035,-5.324668884277344,-0.2972579896450043,0.038109999150037766,-0.19054999947547913,257.1000061035156,-59.70000076293945,-2.1000001430511475
1428329,-3.168961524963379,7.294951915740967,-5.288181781768799,-0.39634400606155396,0.09146399796009064,-0.1448179930448532,252.3000030517578,-50.10000228881836,-2.700000047683716
1428349,-3.1641762256622314,7.303923606872559,-5.2504987716674805,-0.4725639820098877,0.16768398880958557,-0.1600620001554489,259.5,-54.900001525878906,-5.100000381469727
1428369,-3.1821205615997314,7.323662757873535,-5.273228645324707,-0.4420759975910187,0.228659987449646,-0.20579399168491364,261.9000244140625,-52.500003814697266,-3.9000000953674316
1428393,-3.174344778060913,7.226165294647217,-5.212217807769775,-0.39634400606155396,0.2743920087814331,-0.228659987449646,257.1000061035156,-54.900001525878906,-2.700000047683716
1428413,-3.180326223373413,7.29315710067749,-5.2714338302612305,-0.3887220025062561,0.3048799932003021,-0.17530599236488342,257.1000061035156,-54.900001525878906,-1.5
1428433,-3.1522135734558105,7.297344207763672,-5.20683479309082,-0.35061198472976685,0.28201398253440857,-0.07621999830007553,261.9000244140625,-59.70000076293945,-3.9000000953674316
1428453,-3.2538976669311523,7.183098793029785,-5.206236362457275,-0.4344539940357208,0.33536797761917114,-0.16768398880958557,259.5,-57.30000305175781,-3.9000000953674316
1428473,-3.1767373085021973,7.312895774841309,-5.316893100738525,-0.2439039945602417,0.2439039945602417,-0.07621999830007553,266.70001220703125,-57.30000305175781,-3.9000000953674316
1428514,-3.216214656829834,7.200445175170898,-5.335435390472412,-0.3734779953956604,0.1600620001554489,-0.28201398253440857,259.5,-54.900001525878906,-4.5
1428538,-3.189298391342163,7.425944805145264,-5.2594709396362305,-0.1600620001554489,0.10670799762010574,-0.3582339882850647,264.3000183105469,-52.500003814697266,-4.5
1428558,-3.2772252559661865,7.239922523498535,-5.2624616622924805,-0.44969800114631653,0.26677000522613525,-0.44969800114631653,257.1000061035156,-57.30000305175781,-4.5
1428578,-3.3310582637786865,7.2058281898498535,-5.339622497558594,-0.41158798336982727,0.28201398253440857,-0.38109999895095825,257.1000061035156,-57.30000305175781,-3.9000000953674316
1428598,-3.2987585067749023,7.2297539710998535,-5.309116840362549,-0.3734779953956604,0.23628199100494385,-0.3125019967556,259.5,-57.30000305175781,-4.5
1428622,-3.3304600715637207,7.285979747772217,-5.339024066925049,-0.39634400606155396,0.26677000522613525,-0.23628199100494385,269.1000061035156,-47.70000076293945,-3.9000000953674316
1428642,-3.3107213973999023,7.198052406311035,-5.3013410568237305,-0.3048799932003021,0.2972579896450043,-0.228659987449646,259.5,-54.900001525878906,-4.5
1428664,-3.26765513420105,7.168145179748535,-5.292967319488525,-0.3201240003108978,0.38109999895095825,0.05335399881005287,264.3000183105469,-52.500003814697266,-4.5
1428684,-3.26167368888855,7.2805962562561035,-5.3785014152526855,-0.3201240003108978,0.510673999786377,0.1600620001554489,259.5,-57.30000305175781,-4.5
1428706,-3.258084774017334,7.339812278747559,-5.4203715324401855,-0.3201240003108978,0.4420759975910187,0.08384199440479279,259.5,-54.900001525878906,-2.700000047683716
1428726,-3.19587779045105,7.338615894317627,-5.4054179191589355,-0.342989981174469,0.36585599184036255,0.08384199440479279,259.5,-52.500003814697266,-3.3000001907348633
1428746,-3.1372599601745605,7.294353485107422,-5.330650329589844,-0.4192099869251251,0.2743920087814331,0.05335399881005287,257.1000061035156,-57.30000305175781,-3.9000000953674316
1428766,-3.067875385284424,7.230352401733398,-5.2594709396362305,-0.5030519962310791,0.3201240003108978,0.06859800219535828,264.3000183105469,-59.70000076293945,-1.5
1428827,-3.090604782104492,7.229156017303467,-5.304930210113525,-0.4420759975910187,0.46494197845458984,0.060975998640060425,257.1000061035156,-57.30000305175781,-3.9000000953674316
1428847,-3.043351411819458,7.248894691467285,-5.196067810058594,-0.3734779953956604,0.4192099869251251,0,259.5,-59.70000076293945,-2.700000047683716
