time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
1441919,1.5300497,9.179102,-1.4798057,1.493912,-1.272874,-0.983238,69.9,-167.70001,-30.300001,,,,,,
1441939,1.4331505,8.583352,-1.4672447,1.013726,-0.830798,-1.516778,65.100006,-177.3,-28.500002,,,,,,
1441959,1.7585404,8.91891,-1.5192832,1.539644,-0.975616,-1.173788,77.100006,-172.5,-29.7,,,,,,
1441979,1.982844,9.406396,-1.606612,1.3490939,-0.602138,-1.318606,74.700005,-172.5,-30.300001,,,,,,
1441999,1.7920363,9.066651,-1.8022047,0.625004,-0.121952,-1.8673899,69.9,-170.1,-30.300001,,,,,,
1442022,1.9325999,9.267029,-1.8805615,0.92988396,-0.20579399,-2.500016,77.100006,-167.70001,-29.1,,,,,,
1442042,1.9648997,9.110913,-1.9529368,0.746956,0.015244,-3.35368,81.9,-172.5,-28.500002,,,,,,
1442082,2.104267,8.510977,-1.8434767,1.1356779,-0.068598,-4.367406,84.3,-172.5,-29.7,,,,,,
1442102,2.003779,8.077921,-1.9834421,0.868908,0.503052,-4.664664,91.5,-167.70001,-29.1,,,,,,
1442142,1.7633255,7.4313283,-2.8250291,1.196654,1.3490939,-3.50612,93.9,-167.70001,-27.300001,,,,,,
1442204,2.355487,10.059568,-5.4676247,2.423796,2.637212,-4.657042,101.100006,-165.3,-26.1,,,,,,
1442224,2.0767524,8.589334,-5.9927945,4.9924097,0.94512796,-5.312534,105.9,-165.3,-23.7,,,,,,
1442244,2.5289485,10.121178,-5.0590935,4.375028,-2.36282,-2.454284,115.50001,-162.90001,-23.1,,,,,,
1442264,2.727532,10.487839,-4.7695923,2.01983,-0.510674,-3.2393498,113.100006,-160.5,-23.7,,,,,,
1442284,2.1347723,8.824403,-4.782751,0.80030996,-0.55640596,-4.070148,113.100006,-162.90001,-23.7,,,,,,
1442304,1.949946,7.864982,-4.146327,0.663114,-1.958854,-3.3155699,117.9,-155.70001,-21.300001,,,,,,
1442328,2.1604924,8.034855,-3.334049,-0.297258,-2.2484899,-1.707328,117.9,-160.5,-20.7,,,,,,
1442348,2.096491,8.187979,-3.0349774,-2.2256238,-1.1128119,-1.326228,122.700005,-160.5,-24.300001,,,,,,
1442368,2.192194,8.083902,-2.9542282,-2.2637339,-1.051836,-1.1356779,125.100006,-155.70001,-22.5,,,,,,
1442428,2.3614686,8.149698,-2.217316,-1.310984,-0.81555396,0.19055,125.100006,-155.70001,-24.300001,,,,,,
1442448,2.4117124,8.146708,-2.2328677,-1.204276,-0.579272,0.144818,122.700005,-155.70001,-26.7,,,,,,
1442468,2.3800108,8.224466,-2.3207948,-0.868908,-0.129574,0.182928,122.700005,-162.90001,-26.1,,,,,,
1442508,2.6719046,9.988988,-2.6635306,0.388722,-0.060976,0.716468,127.50001,-158.1,-24.300001,,,,,,
1442529,1.6849687,9.569091,-2.8591235,-0.830798,0.182928,-1.3490939,127.50001,-158.1,-26.1,,,,,,
1442549,1.6185749,9.478173,-3.0086591,-0.53354,-0.053354,-1.173788,122.700005,-162.90001,-26.7,,,,,,
1442571,0.68606997,9.512866,-2.827422,-0.221038,-0.99086,-1.204276,129.90001,-155.70001,-26.1,,,,,,
1442591,0.16807817,9.255066,-2.677886,-0.19055,-0.655492,-0.518296,129.90001,-158.1,-26.1,,,,,,
1442611,-0.5796005,10.001549,-2.577398,-0.091464,-0.33536798,-0.060976,122.700005,-160.5,-24.300001,,,,,,
1442633,-1.108359,10.288059,-2.7203543,-0.548784,0.3811,-0.396344,120.3,-155.70001,-23.7,,,,,,
1442653,-1.7435868,9.901061,-2.820244,-0.868908,0.94512796,-0.92226195,125.100006,-158.1,-25.500002,,,,,,
1442675,-1.8823559,9.786816,-3.0002851,-0.81555396,0.853664,-0.7622,129.90001,-162.90001,-24.900002,,,,,,
1442695,-2.279523,9.326245,-2.9141526,-0.45731997,0.30488,-1.02897,134.70001,-160.5,-24.900002,,,,,,
1442715,-2.493658,8.808851,-2.9045823,-0.320124,0.007622,-1.211898,127.50001,-155.70001,-25.500002,,,,,,
1442735,-2.4781063,8.332729,-2.950041,0.23628199,-0.503052,-1.02897,132.3,-155.70001,-25.500002,,,,,,
1442755,-2.2819154,8.586941,-2.6467826,0.861286,-1.1204339,-0.617382,132.3,-155.70001,-24.900002,,,,,,
1442775,-2.1975772,9.025379,-2.7873464,0.83842,-0.853664,-1.150922,132.3,-155.70001,-24.900002,,,,,,
1442815,-2.5295467,8.2777,-3.1611855,1.158544,-1.242386,-1.493912,137.1,-150.90001,-26.1,,,,,,
1442838,-2.1975772,8.228653,-2.957817,0.846042,-1.6006199,-1.021348,134.70001,-150.90001,-24.300001,,,,,,
1442858,-1.3302699,9.509277,-2.9392745,1.044214,-1.75306,-0.160062,137.1,-160.5,-24.900002,,,,,,
1442878,-1.4032434,8.554641,-2.9297042,0.129574,-1.089946,-1.3567159,139.5,-150.90001,-23.7,,,,,,
1442940,-0.6669294,9.123475,-3.1635783,0.518296,0.20579399,-0.746956,137.1,-148.5,-24.300001,,,,,,
1442990,-0.47073853,8.443984,-3.355582,0.198172,1.33385,-2.2942219,139.5,-150.90001,-23.7,,,,,,
1443030,-0.44202766,8.404507,-3.7545435,-0.56402797,2.987824,-2.423796,144.3,-148.5,-23.7,,,,,,
1443246,0.82842803,8.162259,-3.7270288,-0.28201398,0.26677,-1.493912,163.5,-138.90001,-21.300001,,,,,,
1443344,-0.10886202,9.727599,-3.0248091,-1.6311079,0.091464,0.45731997,168.3,-141.3,-22.5,,,,,,
1443365,-1.1615937,10.298227,-2.731719,-1.6539739,-0.007622,-0.480186,163.5,-134.1,-20.7,,,,,,
1443406,-2.752056,9.017604,-2.2579896,-1.288118,0.640248,-1.768304,168.3,-141.3,-23.7,,,,,,
1443428,-3.401041,8.850721,-3.015837,-0.907018,1.6082419,-1.8902559,170.70001,-138.90001,-23.7,,,,,,
1443448,-3.627139,9.139027,-3.7826562,0.121952,0.87653,-1.265252,168.3,-138.90001,-23.1,,,,,,
1443468,-3.317899,9.199439,-3.5463896,0.541162,-0.884152,-1.089946,170.70001,-141.3,-22.5,,,,,,
1443531,-2.2603822,9.212598,-3.8077781,0.975616,-1.951232,0.708846,170.70001,-138.90001,-22.5,,,,,,
1443551,-2.0869207,8.787916,-3.6534572,0.182928,-1.21952,0.327746,173.1,-141.3,-22.5,,,,,,
1443572,-1.9888253,8.440993,-3.463846,-0.28201398,-1.059458,0.525918,170.70001,-141.3,-23.1,,,,,,
1443592,-1.6867632,8.333328,-3.3442173,-0.388722,-0.68597996,1.1356779,170.70001,-136.5,-21.300001,,,,,,
1443614,-1.3422328,9.032557,-3.4118075,-0.091464,-0.099086,1.6234859,161.1,-136.5,-22.5,,,,,,
1443634,-1.0957979,9.295142,-3.3023474,-0.045732,-0.358234,0.746956,175.5,-136.5,-21.900002,,,,,,
1443656,-0.9354956,8.830983,-3.155204,-0.221038,-0.251526,0.007622,168.3,-143.70001,-21.300001,,,,,,
1443676,-0.92891604,8.559426,-3.166569,-0.259148,0.068598,-0.449698,168.3,-134.1,-21.300001,,,,,,
1443698,-0.94805664,8.75442,-3.3448155,-0.144818,0.22865999,-0.449698,170.70001,-136.5,-23.1,,,,,,
1443718,-0.8840553,8.75442,-3.3998446,-0.091464,0.22865999,-0.708846,168.3,-136.5,-23.1,,,,,,
1443741,-0.6968366,9.255664,-3.4243686,0.16768399,0.320124,-0.69360197,173.1,-138.90001,-21.900002,,,,,,
1443761,-0.99291736,8.711354,-3.489566,-0.198172,0.525918,-1.303362,170.70001,-141.3,-22.5,,,,,,
1443844,-3.4267612,8.755018,-4.685254,-0.28201398,0.739334,0.82317597,168.3,-138.90001,-21.900002,,,,,,
1443881,-6.9360657,8.040836,-4.785742,-1.303362,2.301844,0.19055,173.1,-136.5,-21.900002,,,,,,
1443901,-7.3362236,9.448865,-6.8798404,0.80793196,6.3719916,1.75306,173.1,-134.1,-21.300001,,,,,,
1443961,-6.969562,9.741357,-5.4155865,-1.8445239,-0.30488,1.8902559,168.3,-143.70001,-23.1,,,x,,,
1444000,-5.6374974,6.690229,-4.2862926,-1.768304,-0.022866,0.60976,158.70001,-143.70001,-21.300001,,,x,,,
1444020,-4.803088,6.159078,-3.6779811,-1.158544,-0.312502,1.41007,161.1,-143.70001,-22.5,,,x,,,
1444063,-2.0217233,5.157787,-2.0109568,0.129574,-2.141782,1.951232,153.90001,-153.3,-23.7,,,x,,,
1444083,-0.75126755,5.518467,-1.3984582,-0.11432999,-2.012208,2.47715,153.90001,-143.70001,-25.500002,,,x,,,
1444103,0.7315289,5.25648,-1.3691492,-0.91463995,-1.013726,2.317088,144.3,-146.1,-23.1,,,x,,,
1444126,2.3447204,5.551963,-0.9187476,-0.792688,-0.708846,4.260698,146.70001,-148.5,-23.7,,,x,,,
1444146,3.6414945,7.1179013,-0.9468603,-1.6158639,0.891774,6.158576,141.90001,-150.90001,-23.7,,,x,,,
1444166,4.883837,8.293252,-1.4875816,-1.989342,2.6829438,7.118948,134.70001,-153.3,-23.1,,,x,,,
1444186,5.6536474,8.704177,-1.430758,-2.027452,3.01069,7.309498,129.90001,-155.70001,-22.5,,,x,,,
1444206,6.700996,9.981212,-1.5366293,-2.416174,3.079288,8.300358,120.3,-160.5,-23.1,,,x,,,
1444226,6.3038287,10.056578,-2.0516305,-2.004586,3.894842,6.1204658,115.50001,-162.90001,-23.1,,,x,,,
1444250,7.1573787,10.757003,-2.8645067,-0.259148,2.6677,4.390272,110.700005,-160.5,-24.300001,,,x,,,
1444271,7.162762,12.196733,-3.3789096,-0.022866,1.6082419,3.50612,101.100006,-162.90001,-25.500002,,,x,,,
1444291,6.5042067,11.746331,-3.9686787,0.083841994,0.83842,0.358234,101.100006,-170.1,-24.900002,,,x,,,
1444311,6.714753,11.08359,-4.0009785,1.227142,-0.663114,-0.785066,98.700005,-167.70001,-24.300001,,,x,,,
1444331,6.640583,11.027962,-3.8927145,0.853664,-1.3719599,0.19055,103.50001,-165.3,-24.900002,,,x,,,
1444351,6.46772,12.29124,-3.756338,0.34298998,-1.821658,0.80793196,101.100006,-167.70001,-24.300001,,,x,,,
1444372,6.212911,11.922784,-3.4949493,-0.40396598,-1.29574,-1.1128119,105.9,-162.90001,-23.7,,,x,,,
1444392,6.0849085,10.648141,-2.9392745,-1.02897,-1.6463519,-2.012208,105.9,-162.90001,-21.900002,,,x,,,
1444412,6.3014364,9.887901,-1.9756663,-1.036592,-0.87653,-0.739334,105.9,-160.5,-22.5,,,x,,,
1444433,5.6913304,10.445969,-1.8560376,-2.599102,0.67835796,0.20579399,101.100006,-155.70001,-23.7,,,x,,,
1444453,4.9352775,10.2426,-2.280719,-2.179892,1.097568,-1.577754,103.50001,-160.5,-24.900002,,,x,,,
1444473,4.4244637,9.257459,-1.9774606,-1.1280559,0.17530599,-3.6585598,105.9,-160.5,-24.300001,,,x,,,
1444494,4.128981,8.7191305,-1.4816002,-0.503052,-1.021348,-3.8262439,113.100006,-160.5,-24.900002,,,x,,,
1444514,3.4835846,8.187381,-1.0539279,-0.480186,-1.1280559,-3.574718,115.50001,-162.90001,-25.500002,,,x,,,
1444536,2.8794603,7.9612827,-1.0951998,-0.03811,-0.830798,-3.437522,117.9,-150.90001,-24.900002,,,x,,,
1444576,1.6891557,7.6837444,-1.5156943,0.594516,-0.7622,-4.0167937,129.90001,-158.1,-24.300001,,,x,,,
1444608,0.09689916,6.965973,-2.0683784,1.204276,-0.960372,-3.612828,134.70001,-153.3,-25.500002,,,x,,,
