time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
731523,3.1450357,9.455444,-3.3860874,2.2942219,-0.586894,-1.18141,57.9,-184.5,-24.300001,,,,,,
731543,3.1785316,9.176111,-3.1683633,1.4024479,-0.80030996,-1.310984,48.300003,-174.90001,-20.7,,,,,,
731563,3.0439496,8.576174,-3.0553143,0.41921,-0.3811,-1.417692,45.9,-170.1,-16.5,,,,,,
731583,2.9679854,8.28428,-2.994902,0.16768399,-0.11432999,-1.021348,53.100002,-184.5,-25.500002,,,,,,
731603,3.0965862,8.576174,-2.7885425,-0.487808,-0.045732,-0.41158798,43.5,-179.70001,-25.500002,,,,,,
731625,2.9560225,8.287869,-2.9225266,-1.3567159,0.20579399,-0.30488,53.100002,-179.70001,-21.300001,,,,,,
731646,2.9655929,8.143119,-2.7705982,-0.80793196,-0.099086,0.106708,50.7,-167.70001,-21.300001,,,,,,
731666,2.9691818,8.157474,-2.6766899,-0.967994,-0.022866,0.41158798,53.100002,-172.5,-18.300001,,,,,,
731686,2.8513474,8.14252,-2.7143729,-0.83842,0.053354,0.442076,45.9,-182.1,-27.900002,,,,,,
731728,3.150419,8.263345,-2.7442799,-0.365856,-0.327746,0.35061198,48.300003,-170.1,-23.7,,,,,,
731748,2.9434617,7.9020667,-2.7903368,-0.091464,-0.396344,0.221038,36.300003,-174.90001,-24.900002,,,,,,
731768,2.912358,7.9929843,-2.9273117,0.57164997,-0.72409,0.426832,74.700005,-170.1,-19.5,,,,,,
731788,3.0935955,8.487649,-2.9566207,0.739334,-0.983238,0.434454,41.100002,-182.1,-18.900002,,,,,,
731810,3.116325,8.548659,-2.9608078,0.40396598,-1.242386,-0.20579399,50.7,-174.90001,-20.7,,,,,,
731830,3.166569,8.669484,-2.9715743,0.26677,-1.3643379,-0.297258,53.100002,-167.70001,-29.7,,,,,,
731852,3.4153965,9.603186,-2.924321,0.525918,-0.91463995,0.45731997,43.5,-170.1,-28.500002,,,,,,
731872,4.8455563,12.446757,-3.8508444,0.480186,0.312502,3.635694,50.7,-177.3,-20.7,,,,,,
731892,4.242628,10.8790245,-2.6928396,-2.93447,-3.056422,-2.7744079,48.300003,-167.70001,-21.900002,,,,,,
731913,2.9984908,7.3649344,-1.8907299,-0.388722,-2.7210538,-4.5731997,48.300003,-182.1,-21.300001,,,,,,
731933,2.347711,6.463533,-1.6837724,-1.29574,-1.29574,-0.586894,50.7,-162.90001,-22.5,,,,,,
731953,2.7263358,8.638381,-1.912263,-1.8750119,-0.95274997,3.16313,48.300003,-177.3,-17.1,,,,,,
731974,2.2442324,9.393835,-1.911665,-1.417692,-0.586894,1.5929979,41.100002,-179.70001,-22.5,,,,,,
731994,1.6748003,8.933864,-2.158698,-1.25763,-0.640248,-0.198172,50.7,-172.5,-21.300001,,,,,,
732014,1.0898165,9.186878,-2.1664739,-0.632626,-1.417692,-0.94512796,57.9,-177.3,-17.1,,,,,,
